ESSID,BSSID,STANDARD,CIPHER SUITE,AKM,CHANNEL,LATITUDE DIRECTION,LATITUDE,LONGITUDE DIRECTION,LONGITUDE,ALTITUDE,ALTITUDE UNIT,GPS FIX QUALITY
DIRECT-roku-1KG-E935B0,8e:49:62:48:2c:87,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,639.8,M,1
Unknown,fc:15:b4:c6:02:e4,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,640.0,M,1
Unknown,de:97:ba:74:fd:78,WPA/PSK,WPA2/PSK,TKIP,PSK,11,N,47.65,W,-117.19,640.3,M,1
Unknown,42:f1:9e:f5:fe:75,WPA/PSK,WPA2/PSK,TKIP,PSK,11,N,47.65,W,-117.19,640.5,M,1
Unknown,54:a6:5c:dd:e8:ef,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,641.0,M,1
Unknown,e6:97:ba:74:fd:78,WPA/PSK,WPA2/PSK,TKIP,PSK,11,N,47.65,W,-117.19,641.3,M,1
BoundlessInformant,bc:a5:11:70:44:c7,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,641.5,M,1
Unknown,ee:97:ba:74:fd:78,WPA2/802.1X,WPA/802.1X,TKIP,802.1X,11,N,47.65,W,-117.19,641.8,M,1
Unknown,22:f1:9e:f5:fe:75,WPA/PSK,WPA2/PSK,TKIP,PSK,11,,0.0,,0.0,None,M,0
jnco_Gs,88:5a:85:f3:81:79,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,642.5,M,1
THE OFFICE,64:ff:0a:5e:53:af,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
HappyGrandmato3,20:f1:9e:f5:fe:75,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
Unknown,62:f1:9e:f5:fe:75,WPA2/802.1X,WPA/802.1X,TKIP,802.1X,11,,0.0,,0.0,None,M,0
Unknown,54:a6:5c:dd:e8:ed,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
Unknown,26:4e:5a:1f:e4:1a,WPA/PSK,WPA2/PSK,TKIP,PSK,11,,0.0,,0.0,None,M,0
Unknown,46:4e:5a:1f:e4:1a,WPA2/802.1X,WPA/802.1X,TKIP,802.1X,11,,0.0,,0.0,None,M,0
Unknown,54:a6:5c:dd:e8:f1,WPA2/802.1X,WPA/802.1X,CCMP-128,802.1X,11,,0.0,,0.0,None,M,0
Unknown,f2:97:ba:74:fd:78,WPA/PSK,WPA2/PSK,TKIP,PSK,11,,0.0,,0.0,None,M,0
Julz1240,04:4e:5a:1f:e4:1a,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
Morris_EXT,10:27:f5:c8:0a:88,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,644.2,M,1
H0ME,d8:97:ba:74:fd:78,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,644.0,M,1
CenturyLink1073,8c:59:73:2e:04:8b,WPA2/PSK,WPA/PSK,TKIP,PSK,11,N,47.65,W,-117.19,643.5,M,1
Unknown,d6:89:ab:f1:c3:14,WPA2/802.1X,WPA/802.1X,CCMP-128,802.1X,6,N,47.65,W,-117.19,641.1,M,1
Unknown,f6:fe:07:78:ae:d8,OPN,Unknown,Unknown,11,,0.0,,0.0,None,M,0
Morris,54:a6:5c:dd:e8:ec,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
nermily,dc:fe:07:78:ae:d8,WPA2/PSK,CCMP-128,PSK,11,,0.0,,0.0,None,M,0
Living Room speaker.n069,fa:8f:ca:1e:c7:99,OPN,Unknown,Unknown,11,,0.0,,0.0,None,M,0
nateswifi,08:a7:c0:48:27:44,WPA2/PSK,CCMP-128,PSK,11,N,47.65,W,-117.19,615.5,M,1
Unknown,f2:fe:07:78:ae:d8,WPA2/802.1X,WPA/802.1X,TKIP,802.1X,11,N,47.65,W,-117.19,616.6,M,1
