TIME,LATITUDE,LONGITUDE,ELEVATION,ELEVATION UNIT,GPS FIX QUALITY
Sun Jun 12 19:56:12 2022,47.6552,-117.1908,622.2,M,2
Sun Jun 12 19:56:31 2022,47.6551,-117.1908,622.7,M,2
Sun Jun 12 19:56:43 2022,47.6548,-117.191,623.1,M,2
Sun Jun 12 19:57:08 2022,47.654,-117.1913,622.0,M,2
Sun Jun 12 19:57:36 2022,47.6533,-117.1907,621.4,M,2
Sun Jun 12 19:57:51 2022,47.6533,-117.1884,618.4,M,2
Sun Jun 12 19:58:16 2022,47.6528,-117.1868,625.0,M,2
Sun Jun 12 19:58:41 2022,47.6508,-117.1893,630.2,M,2
Sun Jun 12 19:59:18 2022,47.6475,-117.1872,634.5,M,2
Sun Jun 12 19:59:46 2022,47.6447,-117.1886,634.3,M,2
Sun Jun 12 20:00:46 2022,47.6408,-117.1893,627.8,M,2
Sun Jun 12 20:01:03 2022,47.6401,-117.1901,629.1,M,2
Sun Jun 12 20:01:19 2022,47.6394,-117.1918,627.2,M,1
Sun Jun 12 20:01:51 2022,47.6384,-117.1956,628.2,M,2
Sun Jun 12 20:02:22 2022,47.6408,-117.1965,627.1,M,2
Sun Jun 12 20:03:07 2022,47.6425,-117.1996,630.8,M,2
Sun Jun 12 20:03:36 2022,47.643,-117.202,635.6,M,2
Sun Jun 12 20:03:59 2022,47.6453,-117.202,635.9,M,2
Sun Jun 12 20:04:32 2022,47.6476,-117.202,636.5,M,2
Sun Jun 12 20:04:56 2022,47.6497,-117.202,622.4,M,2
Sun Jun 12 20:05:24 2022,47.6522,-117.202,614.0,M,2
Sun Jun 12 20:05:36 2022,47.6532,-117.202,613.3,M,2
Sun Jun 12 20:06:21 2022,47.6534,-117.1969,620.7,M,2
Sun Jun 12 20:07:19 2022,47.6538,-117.1913,621.4,M,2
Sun Jun 12 20:07:39 2022,47.6544,-117.191,621.5,M,2
Sun Jun 12 20:07:43 2022,47.6545,-117.191,621.4,M,2
Sun Jun 12 20:07:54 2022,47.6549,-117.1909,623.4,M,2
Sun Jun 12 20:07:57 2022,47.655,-117.1909,623.4,M,2
Sun Jun 12 20:08:02 2022,47.6551,-117.1908,624.3,M,2
Sun Jun 12 20:08:07 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:08:12 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:08:37 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:08:44 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:08:49 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:08:54 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:08:56 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:08:58 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:09:04 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:09:08 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:09:12 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:09:14 2022,47.6551,-117.1907,623.9,M,2
Sun Jun 12 20:09:28 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:09:30 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:09:38 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:09:52 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:09:58 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:00 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:08 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:12 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:14 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:16 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:23 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:26 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:28 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:31 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:33 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:37 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:39 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:41 2022,47.6551,-117.1907,623.8,M,2
Sun Jun 12 20:10:46 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:10:52 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:10:56 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:10:58 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:07 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:13 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:16 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:18 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:22 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:24 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:26 2022,47.6551,-117.1907,623.7,M,2
Sun Jun 12 20:11:28 2022,47.6551,-117.1907,623.7,M,2
